"Code","Name","Enabled","AdminUnit"
UseMacrosAdditionalParameters,UseMacrosAdditionalParameters,1,All employees
UseMacrosAdditionalParameters,UseMacrosAdditionalParameters,1,All portal users
UseMessageHistoryPagination,UseMessageHistoryPagination,1,All employees
UseMessageHistoryPagination,UseMessageHistoryPagination,1,All portal users
UseMobileApprovalPushNotifications,UseMobileApprovalPushNotifications,1,All employees
UseMobileApprovals,UseMobileApprovals,0,All employees
UseMobileApprovalsOfflineFirst,UseMobileApprovalsOfflineFirst,1,All employees
UseMobileAsyncAppStructureLoading,UseMobileAsyncAppStructureLoading,0,All employees
UseMobileCase,UseMobileCase,1,All employees
UseMobileCasePushNotifications,"",1,All employees
UseMobileDataService,Use DataService in mobile app,1,All employees
UseMobileDataService,Use DataService in mobile app,1,All portal users
UseMobileDataServiceBatch,UseMobileDataServiceBatch,1,All employees
UseMobileDataServiceChangeOperations,UseMobileDataServiceChangeOperations,1,All employees
UseMobileDataServiceChangeOperations,UseMobileDataServiceChangeOperations,1,All portal users
UseMobileDynamicLink,UseMobileDynamicLink,1,All employees
UseMobileDynamicLink,UseMobileDynamicLink,1,All portal users
UseMobileEmbeddedDetailLimit,UseMobileEmbeddedDetailLimit,1,All employees
UseMobileExtendedLogging,UseMobileExtendedLogging,0,All employees
UseMobileFileService,UseMobileFileService,1,All employees
UseMobileFileService,UseMobileFileService,1,All portal users
UseMobileFlutterApprovals,UseMobileFlutterApprovals,1,All employees
UseMobileFlutterApprovalsHistory,UseMobileFlutterApprovalsHistory,1,All employees
UseMobileFolders,UseMobileFolders,1,All employees
UseMobileFolders,UseMobileFolders,1,All portal users
UseMobileHybridMode,UseMobileHybridMode,1,All employees
UseMobileHybridMode,UseMobileHybridMode,1,All portal users
UseMobileImageFileSystemCache,UseMobileImageFileSystemCache,1,All employees
UseMobileInternalCamera,UseMobileInternalCamera,0,All employees
UseMobileInvoiceCacheManager,"",0,All employees
UseMobileMainMenuServiceLogout,UseMobileMainMenuServiceLogout,1,All employees
UseMobileNativeBackgroundSync,UseMobileNativeBackgroundSync,1,All employees
UseMobileNativeBackgroundSync,UseMobileNativeBackgroundSync,1,All portal users
UseMobileNativeExport,UseMobileNativeExport,1,All employees
UseMobileNativeExport,UseMobileNativeExport,1,All portal users
UseMobileNativeFileImport,UseMobileNativeFileImport,1,All employees
UseMobileNativeFullSynchronization,UseMobileNativeFullSynchronization,1,All employees
UseMobileNativeFullSynchronization,UseMobileNativeFullSynchronization,1,All portal users
UseMobileNativeImport,UseMobileNativeImport,1,All employees
UseMobileNativeImport,UseMobileNativeImport,1,All portal users
UseMobileNativeImportFeatures,UseMobileNativeImportFeatures,1,All employees
UseMobileNativeImportFeatures,UseMobileNativeImportFeatures,1,All portal users
UseMobileNativeInternalLoginProvider,UseMobileNativeInternalLoginProvider,1,All employees
UseMobileNativeInternalLoginProvider,UseMobileNativeInternalLoginProvider,1,All portal users
UseMobileNativeRequestExceptionResolving,UseMobileNativeRequestExceptionResolving,1,All employees
UseMobileNativeRequestExceptionResolving,UseMobileNativeRequestExceptionResolving,1,All portal users
UseMobileNativeSyncMetadata,UseMobileNativeSyncMetadata,1,All employees
UseMobileNativeSyncMetadata,UseMobileNativeSyncMetadata,1,All portal users
UseMobileOfflineAutoExport,UseMobileOfflineAutoExport,0,Supervisor
UseMobilePageCache,UseMobilePageCache,1,All employees
UseMobilePageCache,UseMobilePageCache,1,All portal users
UseMobilePushNotifications,UseMobilePushNotifications,1,All employees
UseMobilePushNotifications,UseMobilePushNotifications,1,All portal users
UseMobileQueryCancellation,UseMobileQueryCancellation,1,All employees
UseMobileQueryCancellation,UseMobileQueryCancellation,1,All portal users
UseMobileQuickFilters,UseMobileQuickFilters,1,All employees
UseMobileQuickFilters,UseMobileQuickFilters,1,All portal users
UseMobileRecents,UseMobileRecents,1,All employees
UseMobileRecents,UseMobileRecents,1,All portal users
UseMobileSearchOnlyInSections,UseMobileSearchOnlyInSections,1,All employees
UseMobileSearchOnlyInSections,UseMobileSearchOnlyInSections,1,All portal users
UseMobileSummaries,UseMobileSummaries,1,All employees
UseMobileSummaries,UseMobileSummaries,1,All portal users
UseMultiInstanceSubProcess,"",1,All employees
UseMultiInstanceSubProcess,"",1,All portal users
UseNavigationServiceRedirect,UseNavigationServiceRedirect,1,All employees
UseNavigationServiceRedirect,UseNavigationServiceRedirect,1,All portal users
UseNewLookupComparison,UseNewLookupComparison,1,All employees
UseNewLookupComparison,UseNewLookupComparison,1,All portal users
UseNewRelationshipDetailUI,UseNewRelationshipDetailUI,1,All employees
UseNewStructureExplorer,UseNewStructureExplorer,1,All employees
UseNewStructureExplorer,UseNewStructureExplorer,0,All portal users
UseNewWidgetMarketPlace,UseNewWidgetMarketPlace,0,All employees
UseOldNavigationMenu,UseOldNavigationMenu,,
UseOldOpportunityManagementProcess,UseOldOpportunityManagementProcess,,
UseOptionalProcessUserTaskActivities,UseOptionalProcessUserTaskActivities,1,All employees
UseOptionalProcessUserTaskActivities,UseOptionalProcessUserTaskActivities,1,All portal users
UsePackageZipFileStorage,UsePackageZipFileStorage,1,All employees
UsePersistentFileImport,UsePersistentFileImport,1,All employees
UsePortalDataService,UsePortalDataService,1,All portal users
UsePredefinedProductPriceList,"",1,All employees
UsePredefinedProductPriceList,"",1,Partner portal users
UsePriceListsLogic,"",1,All employees
UsePriceListsLogic,"",1,Partner portal users
UseProcessDiagramComponent,"",1,All employees
UseProcessEmailAttachments,UseProcessEmailAttachments,1,All employees
UseProcessEmailAttachments,UseProcessEmailAttachments,1,All portal users
UseProcessFormulaServerValidation,UseProcessFormulaServerValidation,1,All employees
UseProcessPageCompleteNotification,UseProcessPageCompleteNotification,1,All employees
UseProcessPageCompleteNotification,UseProcessPageCompleteNotification,1,All portal users
UseProcessPerformerAssignment,UseProcessPerformerAssignment,1,All employees
